ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
47,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Donald Trump,No,Yes,45-64,Female,White,White College,College,Midwest,49664,28
52,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Unsure,Yes,Unsure,65+,Female,Black or African American,Non White No College,No College,South,23464,28
65,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White College,College,South,28461,28
73,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White College,College,West,92808,28
80,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,Northeast,17202,28
87,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,Northeast,12801,28
93,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Unsure,Kamala Harris,Unsure,No,45-64,Female,White,White No College,No College,Midwest,49341,28
95,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,65+,Male,Hispanic,Non White College,College,Northeast,15205,28
102,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White No College,No College,Midwest,45631,28
105,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,Other,Non White College,College,West,95831,28
106,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Northeast,02906,28
109,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Male,White,White College,College,Midwest,46307,28
113,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,South,72956,28
122,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",Immigration and border security,Unsure,Donald Trump,Kamala Harris,Yes,No,65+,Male,White,White College,College,West,90266,28
125,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Midwest,50703,28
132,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,Black or African American,Non White No College,No College,Midwest,44139,28
139,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,66085,28
140,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,South,32257,28
143,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Midwest,49046,28
145,Already Voted,Very,Always,"Donald Trump, the Republican",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Unsure,45-64,Female,White,White College,College,West,85282,28
147,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,Black or African American,Non White No College,No College,Midwest,48185,28
151,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,South,21207,28
152,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Donald Trump,Kamala Harris,Kamala Harris,Unsure,Yes,30-44,Male,Black or African American,Non White College,College,Midwest,60616,28
157,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White College,College,South,37128,28
158,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,West,94551,28
160,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,South,27510,28
161,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Black or African American,Non White College,College,West,84129,28
162,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,South,72653,28
164,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,Midwest,56379,28
175,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,West,80260,28
177,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White College,College,South,32128,28
181,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,Midwest,47201,28
183,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,Hispanic,Non White College,College,South,77083,28
194,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,65+,Male,White,White College,College,Northeast,01950,28
195,Already Voted,Very,Always,"Donald Trump, the Republican",Independent,Neither,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Male,White,White College,College,West,85712,28
196,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,Northeast,06043,28
198,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Joe Biden, the Democrat",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,White,White No College,No College,Midwest,55434,28
201,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Unsure,Unsure,Unsure,Unsure,Unsure,65+,Female,Other,Non White No College,No College,South,32534,28
204,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,48848,28
208,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,97303,28
213,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Abortion rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White College,College,South,26426,28
216,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Midwest,46563,28
221,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White No College,No College,Midwest,53209,28
222,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,28173,28
228,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,65+,Female,White,White No College,No College,Midwest,44138,28
232,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,South,33330,28
233,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Midwest,48180,28
235,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,45-64,Female,White,White College,College,Midwest,53092,28
243,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Donald Trump,Kamala Harris,Donald Trump,No,No,18-29,Male,Other,Non White No College,No College,Midwest,65203,28
246,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,Black or African American,Non White College,College,Midwest,44132,28
248,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,66212,28
253,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,18-29,Female,Black or African American,Non White No College,No College,Northeast,42167,28
257,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,White,White College,College,South,28227,28
261,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,West,98382,28
262,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Other,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,63026,28
269,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,48653,28
271,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Midwest,48755,28
275,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,30-44,Female,White,White No College,No College,South,23229,28
276,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Female,White,White College,College,West,85378,28
279,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Male,White,White No College,No College,West,80918,28
280,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,Midwest,67204,28
286,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,65+,Female,White,White No College,No College,South,75067,28
287,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,Black or African American,Non White No College,No College,Northeast,08094,28
290,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Donald Trump, the Republican",The economy and jobs,Kamala Harris,Donald Trump,Donald Trump,Yes,Yes,18-29,Female,Hispanic,Non White No College,No College,Northeast,08611,28
305,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,Northeast,12448,28
313,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,Northeast,08857,28
321,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Jorgensen, the Libertarian",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,30-44,Male,Black or African American,Non White No College,No College,West,92376,28
336,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,Midwest,48917,28
339,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,South,32092,28
342,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,South,19701,28
346,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White No College,No College,South,34221,28
347,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,29572,28
350,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,97233,28
357,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,Midwest,44907,28
359,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,No,65+,Male,White,White College,College,Northeast,10704,28
360,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Male,White,White No College,No College,West,89135,28
367,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Donald Trump,No,Yes,45-64,Male,Black or African American,Non White No College,No College,Northeast,06708,28
368,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Male,Black or African American,Non White College,College,South,21046,28
388,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,West,85351,28
390,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Unsure,Kamala Harris,Yes,No,65+,Female,White,White No College,No College,Northeast,47274,28
398,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Male,White,White College,College,West,89128,28
403,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,45-64,Male,Other,Non White No College,No College,South,77068,28
406,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Unsure,Kamala Harris,Unsure,Unsure,45-64,Male,White,White No College,No College,Northeast,13212,28
407,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,South,36526,28
409,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,Midwest,57006,28
420,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Unsure,Donald Trump,Unsure,Unsure,Yes,65+,Female,White,White No College,No College,West,84321,28
443,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,58601,28
444,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Other,Non White College,College,West,97404,28
449,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,45856,28
457,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Midwest,48146,28
460,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,Northeast,07083,28
462,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Unsure,65+,Female,Hispanic,Non White No College,No College,Northeast,01887,28
463,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,65+,Female,White,White No College,No College,West,85351,28
467,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,18-29,Female,White,White No College,No College,South,75211,28
471,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Unsure,No,Yes,65+,Female,Black or African American,Non White College,College,South,78753,28
473,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,Other,Non White No College,No College,West,96816,28
479,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White College,College,South,76227,28
483,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Northeast,18704,28
492,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,Hispanic,Non White College,College,Northeast,06114,28
500,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Male,White,White No College,No College,Midwest,49315,28
508,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Unsure,Kamala Harris,Yes,Unsure,45-64,Female,Black or African American,Non White College,College,South,30252,28
509,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,Unsure,No,65+,Male,White,White College,College,West,91321,28
510,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,91790,28
511,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Unsure,Kamala Harris,No,No,65+,Female,White,White College,College,West,81147,28
513,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Donald Trump,Kamala Harris,No,No,65+,Female,White,White No College,No College,Northeast,01020,28
518,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,White,White College,College,West,80524,28
519,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,West,92411,28
521,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Unsure,Kamala Harris,Unsure,Yes,65+,Male,Black or African American,Non White College,College,South,77099,28
533,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,Midwest,50265,28
